,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,6,demande,request
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,laisser,let
10,11,car,because
11,12,mettre,to put
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donné,given
40,41,train,train
41,42,corps,body
42,43,endroit,place
43,44,yeux,eyes
44,45,façon,way
45,46,écoute,listen
46,47,dont,whose
47,48,trouve,find
48,49,premier,first
49,50,perdu,lost
50,51,main,hand
51,52,première,first
52,53,côté,side
53,54,pouvoir,power
54,55,vieux,old
55,56,sois,be
56,57,tiens,here
57,58,matin,morning
58,59,tellement,so much
59,60,enfant,child
60,61,point,point
61,62,venu,came
62,63,suite,after
63,64,pardon,sorry
64,65,devant,in front of
65,66,vers,towards
66,67,minutes,minutes
67,68,demandé,request
68,69,chambre,bedroom
69,70,mis,placed
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,76,cause,cause
76,77,enfin,finally
77,78,espère,hope
78,79,eau,water
79,80,attendez,Wait
80,81,parti,left
81,82,nouvelle,new
82,83,boulot,job
83,84,arrêter,Stop
84,85,dirait,would say
85,86,terre,Earth
86,87,compte,account
87,88,donne,given
88,89,loin,far
89,90,fin,end
90,91,croire,believe
91,92,chérie,sweetheart
92,93,gros,large
93,94,plutôt,rather
94,95,aura,will have
95,96,filles,girls
96,97,jouer,to play
97,98,bureau,office
